<jemalloc>: option background_thread currently supports pthread only
           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.18.3, build: db8fa43f
Access web UI at http://localhost:6333/dashboard
Agentic Skills: https://skills.qdrant.tech/

2026-08-07T15:29:51.963537Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "axios/1.19.0" 0.014488
2026-08-07T15:29:51.963526Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points/search HTTP/1.1" 404 90 "-" "axios/1.19.0" 0.035971
2026-08-07T15:30:09.019987Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "axios/1.19.0" 0.036725
2026-08-07T15:30:09.023166Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points/search HTTP/1.1" 404 91 "-" "axios/1.19.0" 0.036719
2026-08-07T15:30:11.858097Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points/search HTTP/1.1" 404 88 "-" "axios/1.19.0" 0.002913
2026-08-07T15:30:11.883320Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "axios/1.19.0" 0.007512
2026-08-07T15:30:26.738522Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "axios/1.19.0" 0.041829
2026-08-07T15:30:26.738524Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points/search HTTP/1.1" 404 90 "-" "axios/1.19.0" 0.041834
2026-08-07T15:30:33.571956Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "axios/1.19.0" 0.016727
2026-08-07T15:30:33.571954Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points/search HTTP/1.1" 404 90 "-" "axios/1.19.0" 0.039039
2026-08-07T15:30:49.284414Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "axios/1.19.0" 0.030080
2026-08-07T15:31:09.328973Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "axios/1.19.0" 0.020462
2026-08-07T15:31:11.924711Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "axios/1.19.0" 0.004560
2026-08-07T15:31:26.810842Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "axios/1.19.0" 0.002884
2026-08-07T15:31:33.635634Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "axios/1.19.0" 0.012131
2026-08-07T19:29:43.858495Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.014550
2026-08-07T19:29:54.257093Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.002025
2026-08-07T19:32:29.611882Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.002213
2026-08-07T19:33:34.026138Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.027349
2026-08-07T19:34:36.009980Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.004945
2026-08-08T10:34:54.841745Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.013452
2026-08-08T10:37:25.100934Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.021442
2026-08-08T10:42:02.075403Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.023064
2026-08-08T10:45:23.236241Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.028412
2026-08-08T10:47:01.881622Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.018377
2026-08-08T10:49:25.097570Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.017128
2026-08-08T10:51:25.108908Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.002863
2026-08-08T10:55:53.106939Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.020796
2026-08-08T10:58:59.253318Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.023097
2026-08-08T11:02:11.113579Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 92 "-" "python-requests/2.32.5" 0.019418
2026-08-08T11:05:49.894574Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.027141
2026-08-08T11:06:38.710944Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.020744
2026-08-08T11:07:14.213702Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.022911
2026-08-08T11:28:13.312806Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.024883
2026-08-08T11:33:30.112527Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.020581
2026-08-08T11:35:24.957700Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 92 "-" "python-requests/2.32.5" 0.024286
2026-08-08T11:36:11.629579Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.020017
2026-08-09T04:12:59.472617Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.022376
2026-08-09T04:14:45.864544Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 92 "-" "python-requests/2.32.5" 0.006668
2026-08-09T04:15:21.282394Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.003026
2026-08-09T04:18:09.154997Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 94 "-" "python-requests/2.32.5" 0.022239
2026-08-09T04:19:46.072857Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "python-requests/2.32.5" 0.054534
2026-08-09T04:37:00.488673Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 92 "-" "python-requests/2.32.5" 0.026560
